"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"1";"Zürich";"Subventions en milliers de francs";157200;"1000 francs";"A";"Normaler Wert";"";"2016-01-01/2016-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"19838";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/19838_fr.html"
"1";"Zürich";"Subventions (en francs) par hectare**";2139;"1000 francs";"A";"Normaler Wert";"";"2016-01-01/2016-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"19838";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/19838_fr.html"
"2";"Bern";"Subventions en milliers de francs";535431;"1000 francs";"A";"Normaler Wert";"";"2016-01-01/2016-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"19838";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/19838_fr.html"
"2";"Bern";"Subventions (en francs) par hectare**";2789;"1000 francs";"A";"Normaler Wert";"";"2016-01-01/2016-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"19838";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/19838_fr.html"
"3";"Luzern";"Subventions en milliers de francs";230966;"1000 francs";"A";"Normaler Wert";"";"2016-01-01/2016-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"19838";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/19838_fr.html"
"3";"Luzern";"Subventions (en francs) par hectare**";3031;"1000 francs";"A";"Normaler Wert";"";"2016-01-01/2016-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"19838";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/19838_fr.html"
"4";"Uri";"Subventions en milliers de francs";28081;"1000 francs";"A";"Normaler Wert";"";"2016-01-01/2016-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"19838";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/19838_fr.html"
"4";"Uri";"Subventions (en francs) par hectare**";4165;"1000 francs";"A";"Normaler Wert";"";"2016-01-01/2016-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"19838";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/19838_fr.html"
"5";"Schwyz";"Subventions en milliers de francs";82822;"1000 francs";"A";"Normaler Wert";"";"2016-01-01/2016-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"19838";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/19838_fr.html"
"5";"Schwyz";"Subventions (en francs) par hectare**";3446;"1000 francs";"A";"Normaler Wert";"";"2016-01-01/2016-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"19838";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/19838_fr.html"
